sentence,joy,trust,fear,surprise,sadness,disgust,anger,anticipation,neutral
 I took one pill yesterday and I felt really anxious and different so I didn't take it today and I have a headache,0,0,1,0,0,0,0,0,0
 Best to you and your daughter as the anniversary approaches,1,0,0,0,0,0,0,0,0
I was really afraid of the side effects but don't seem to have any,0,0,1,0,0,0,0,0,0
'thanks sandi  might have to invest in another bathroom then  the rest of us arent getting a look in,0,1,0,0,0,0,0,0,0
 I feel confident I am going to get my husband back,1,0,0,0,0,0,0,0,0
 I'll ask aboutrecommendations on the milk thistle then as well,0,0,0,0,0,0,0,1,0
  It seems like in order to get care that a patient needs the entire family is forced to be wiped out financially,0,0,0,1,0,0,0,0,0
 My docs had no problem with my use of it  but they seem to be the exception,0,0,0,1,0,0,0,0,0
 An hour later he had a hepatic seizure  turned blue and quit breathing,0,0,0,1,0,0,0,0,0
  Able to get up early on a saturday and sunday instead of crawling downstairs at 1,1,0,0,0,0,0,0,0,0
 We are on the same regimen as we both are the same genotype  but you are well ahead of me,0,0,0,0,0,0,0,0,1
  i hope that makes you feel a bit better abouthim being there,1,0,0,0,0,0,0,0,0
It was brutal \'\' said Paul Lorenz  a patient of Gish who spent 66 weeks undergoing interferon treatment,0,0,0,0,1,0,0,0,0
 I have survived two hits of cancer  a liver transplant and taken multiple meds,0,0,0,0,0,0,0,1,0
 And no  it's actually his mom that is getting married and it is this Sat,1,0,0,0,0,0,0,0,0
Hello David and Ziffle  and anybody else with a lot of time on their hands Gee whiz  I can't remember taking my lactulose this morning  all I do know it's fun walking around nude,1,0,0,0,0,0,0,0,0
 Know you and your husband have done everything possible for her and some things we just have no control over,0,1,0,0,0,0,0,0,0
  He\'s tired from the minute he gets up  till he goes to bed at night - though he\'s sleeping at least 7-8 hrs,0,0,0,0,1,0,0,0,0
 the specialist at the moment  is not willing to see him sooner than the november appointment,0,0,0,0,0,1,0,0,0
 We were hoping that the meds would work their magic but that just was not happening,0,0,0,0,1,0,0,0,0
 Apologies for massive paragraph  I'm using my mobile and can't take a new line,0,0,0,0,0,0,0,0,1
 Your situation is bad in that you do not get the same care we do here and that is sad for you,0,0,0,0,1,0,0,0,0
  I developed some edema in my feet and calves  especially in the summer,0,0,0,0,1,0,0,0,0
 When I go on the Internet I can't make heads or tails of the info I get,0,0,0,0,0,0,1,0,0
 Hide the ATM/debit cards  charge cards  blank checks  and anything else that he could use to buy alcohol,0,1,0,0,0,0,0,0,0
after a HUGE battle with his insurance company every time,0,0,0,0,0,0,1,0,0
  This is an expensive med that insurance companies balk at paying,0,0,0,0,0,1,0,0,0
 I\'m still a little tired  but it\'s long overdue for me to learn how to take care of myself better  and I\'m learning how to rest a bit more,0,0,0,0,1,0,0,0,0
 No need to thank me for the advice   I read it on the internet and just repeated it to you ,0,1,0,0,0,0,0,0,0
  I will keep you in my thoughts and prayers that an easier road is ahead of you,0,0,0,0,0,0,0,1,0
 I can't believe it when people say they won't take it due to the taste,0,0,0,0,0,1,0,0,0
As much as I love him and wish things to be different ,0,0,0,0,1,0,0,0,0
  He told Mike he was very ill  that he should put his affairs in order because he had 3 months max,0,0,0,0,1,0,0,0,0
I did have a headache fog day for two but other then that feel normal,0,0,0,0,0,0,0,0,1
