sentence,label
 I took one pill yesterday and I felt really anxious and different so I didn't take it today and I have a headache,2
 Best to you and your daughter as the anniversary approaches,0,7
I was really afraid of the side effects but don't seem to have any,2
'thanks sandi  might have to invest in another bathroom then  the rest of us arent getting a look in,1,0
 I feel confident I am going to get my husband back,0,7
 I'll ask aboutrecommendations on the milk thistle then as well,7
  It seems like in order to get care that a patient needs the entire family is forced to be wiped out financially,3,2
 My docs had no problem with my use of it  but they seem to be the exception,3
 An hour later he had a hepatic seizure  turned blue and quit breathing,3
  Able to get up early on a saturday and sunday instead of crawling downstairs at 1,0
 We are on the same regimen as we both are the same genotype  but you are well ahead of me,8
  i hope that makes you feel a bit better abouthim being there,0,7
It was brutal \'\' said Paul Lorenz  a patient of Gish who spent 66 weeks undergoing interferon treatment,4
 I have survived two hits of cancer  a liver transplant and taken multiple meds,7,4
 And no  it's actually his mom that is getting married and it is this Sat,0
Hello David and Ziffle  and anybody else with a lot of time on their hands Gee whiz  I can't remember taking my lactulose this morning  all I do know it's fun walking around nude,0,1
 Know you and your husband have done everything possible for her and some things we just have no control over,1
  He\'s tired from the minute he gets up  till he goes to bed at night - though he\'s sleeping at least 7-8 hrs,4
 the specialist at the moment  is not willing to see him sooner than the november appointment,5,6
 We were hoping that the meds would work their magic but that just was not happening,4,6
 Apologies for massive paragraph  I'm using my mobile and can't take a new line,8
 Your situation is bad in that you do not get the same care we do here and that is sad for you,4
  I developed some edema in my feet and calves  especially in the summer,4,2
 When I go on the Internet I can't make heads or tails of the info I get,6,2
 Hide the ATM/debit cards  charge cards  blank checks  and anything else that he could use to buy alcohol,1
after a HUGE battle with his insurance company every time,6
  This is an expensive med that insurance companies balk at paying,5,6
 I\'m still a little tired  but it\'s long overdue for me to learn how to take care of myself better  and I\'m learning how to rest a bit more,4,7
 No need to thank me for the advice   I read it on the internet and just repeated it to you ,1,0
  I will keep you in my thoughts and prayers that an easier road is ahead of you,7
 I can't believe it when people say they won't take it due to the taste,5
As much as I love him and wish things to be different ,4
  He told Mike he was very ill  that he should put his affairs in order because he had 3 months max,4
I did have a headache fog day for two but other then that feel normal,8
 How can you read these dreadful tales of woe that we all testify to and callously ignore the warnings is beyond me ,3
I was there  so unpacked for the night  stayed with him  and the next morning he won\'t get up to eat breakfast  or dinner and complains abouthow hard it was on everybody ,4,6
 I will be starting TX and can't wait to hear how you are ,7,0
I took Lactulose daily for a year multiple times a day at the onset ,1
 I think this is grossly unfair as there are very few of them and very far in between,6
  I translate it into his utter sadness  despair  regret  and fear,4,2
    I have already been diagnosed with gall bladder that needs to come out,4
 I really don't want to stop the treatment as I have cirrhosis stage 3-4 and need to get RID of this nasty virus,6
 I think I have gotten about100 new grey hairs in the last week,4,3
 The value to these patients  and to their loved ones and society - you can\'t put a price tag on it,1
 I went to the doctors and explained that I isolate myself a lot and that I'm scared to talk to new faces I get like really anxious Bc I feel like they think I'm weird,2
The labs were worse and worse as his Hep C kept on attacking the new liver until he had treatment  and then his numbers settled down again  but he has some liver damage from that in between time,2,4
  I dont like only taking - which is why I drift into trying to give or have done in the past,1
  I also knew my stomach was swelling from ascites  but it was just my plain old fat tummy  lol  that was protruding,3
David it's time to lock this thread due to it's length,8
 at that point in time  i quit drinking and followed a semi healthy lifestylegood food and exercise,0
Needless to say no one was in any danger but after that I went on a mission to find what was causing the sudden mental issues,0
 Kelly do you ever tire of hearing or seeing the constant barrage of  My so and so is treating me like crap and he won\'t quit drinking  ,4
  After a few days I never took the riba all at once  I waited a half hour to an hour between pills,1
