sentence,label
  I felt much better undergoing the procedure after speaking with him,0
they hold  so much power over their own future and health,1
I am going to contact Dany to alerther to your post,7
  What does taking lactulose and walking around nude have in common,8
We have noticed many child like characteristics coming out in her lately,7
I have turned into a mean  angry person  who is never happy,4
There were 49 members listed for GB  but there are probably others that didn't join that list,8
  He's an intense guy  but he did not give up on me,1
  Still don't have to return to cancer center until next February,0
there is dialysis for kidneys  but nothing for a bum liver,6
 The daughter was completely uncontrollable and in and out of consciousness during the meeting ,6
 All to often people tend to ignore the possibility of a early death or the ability of a disease to incapacitate them long before they die and the result only adds to the physical loss of a loved one ,4
You're welcome and I hope for you and your Mom's sake that he will,1
  There are no words  only deep sadness that another loved one has lost the battle,4
 It also has charities and will assist you in funding via the internet,8
The ones you might want to post here are AST  ALT  Alk Phos liver enzymes  bilirubin  creatinine,8
  A serious suicide attempt is done by a person who has absolutely no hope and cannot see things getting any better in the future,
I am going to recommend the Healing Well Depression forum to you,1
Hi everyone  this is my first time here and you all sound so nice,1
 I did feel better after watching the Tony Awards last night,0
 When she was in the hospital  there was blood in her urine  so her kidney function  although it is still ok  is not great,4
 I think ML has the right idea: Contact the nephrologist who ispart ofyour transplant team to see what he says aboutextra MELD points,
Ok the answer is if you're not married you write a separate lease for the significant other,8
 its playing on my conscience a bit  i dont like to lie,2
 After tx  it went up to 40 and has been weaned down to 5 in late January,8
 I'm feeling pretty helpless  he is now becoming very confused and I worry abouthim going and doing things outside the home,2
give your boys all of your concentration and stop reserving some for the worry of checking your symptoms daily,6
  He is still attending weekly AA meetings  and all his labs are in the normal or very close to normal range,0
  It means  a lot to me as I leap off into this somewhat scary new venture,1
Labus said 91 percent of the former patients reported no risk factors other than having a procedure done at the endoscopy center,8
 it took me 30 years with no symptoms  and drinking heavily to find it,8
The ascites thing usually shows up in the lower abdomen and it tends to expand from that point and push it\'s way up to the upper cavities if left unchecked ,8
  They seem to only last a few hours then go away  usually coming a couple hours after the ribavirin/sovaldi,8
 As for AIH  blood tests followed by a biopsy are needed for diagnosis,8
In one particular research OSHA or whoever was running the test for them took stray cats and exposed them to elevated levels of ammonia,8
After a long discussion with my husband I went to the hospital just to see what was going on,8
So I told him I would go to his place for a couple of days after he is released  if possible,8
May both your dog and your husband continue to do well,1
 He's honest  doesn't sugar coat things and his advice has helped me get through 10 years of liver disease  a cerebral hemorrhage and a transplant,0
is probably one of the hardest things for her to do,4
 what my options are now with the cancer remaining in my liverHugs and God Bless Connie,8
 if you fall off the wagon before your next appointment in october  do not bother coming,8
also our neighbor is on disability and he's going to come over everyday and check the house for us,8
Hey Deb   I just went to another thread and see your situation with the Xifaxan,8
 My advice it put it off retirementas long as possible,1
 I think I am fairly mentally healthy--no symptoms of anything  and no drugs/alcohol,0
Hi trish I can't think of anyone here who would think you were big-headed,1
I do understand what the advanced directives and medical power attorney are used for  reasons for her to have these completed now is so that I can ensure her requests are honored if she becomes unable to make them known  as so others cant come in change what her requests are,
  He is very down because he feels it is his job to take care of the family - but currently he is unable to,4
  Also the water thing - yes I do drink a lot of water anyway,8
 Her prograf level came back this morning and it was perfect - exactly within the range that they want,0
 Have a good day and hopefully all your sides leave,1
 doctors gave her 3 months then if she continues to drink she does and she is still here,0
